C0/date,C0/min,C0/max,C0/mean,C0/stDev,C0/sampleCount,C0/noDataCount,C0/median,C0/p10,C0/p90
2019-10-14T00:00:00.000Z,-22.467493057250977,8.723971366882324,-11.62076134675426,6.897436353735698,1395,0,-10.510059356689453,-20.80977439880371,-3.0123777389526367
2019-10-15T00:00:00.000Z,-29.369436264038086,9.65225887298584,-13.424280623851285,6.946393349559533,1395,0,-10.952874183654785,-24.02724266052246,-6.182651996612549
2019-10-21T00:00:00.000Z,-58.31357192993164,1.4002195596694946,-14.732212356696934,8.881104045103013,1395,0,-10.91119384765625,-28.401159286499023,-6.248243808746338
2019-10-26T00:00:00.000Z,-34.5202751159668,8.817445755004883,-13.891166679381577,10.254096653662952,1395,0,-10.231603622436523,-29.52857780456543,-3.0872769355773926
2019-10-27T00:00:00.000Z,-32.637916564941406,4.181539058685303,-14.073937305583742,8.104825782791552,1395,0,-10.703100204467773,-27.029027938842773,-6.046682834625244
2019-11-07T00:00:00.000Z,-24.036272048950195,9.879562377929688,-11.673401579538549,7.051873608759978,1395,0,-10.508625984191895,-20.92892074584961,-2.8700315952301025
2019-11-08T00:00:00.000Z,-37.176673889160156,1.105336308479309,-14.627328482899122,8.865102247389407,1395,0,-10.75614070892334,-28.60716438293457,-6.22849178314209
2019-11-19T00:00:00.000Z,-36.65138244628906,6.764678478240967,-13.50801922653311,9.708327564359207,1395,0,-10.46450424194336,-27.744577407836914,-2.608544111251831
2019-11-20T00:00:00.000Z,-21.668556213378906,4.102299213409424,-10.668579707729968,5.867718525598763,1395,0,-8.946817398071289,-19.404632568359375,-4.252133369445801
2019-11-26T00:00:00.000Z,-30.112836837768555,3.3415472507476807,-12.674896289798092,6.861721505820556,1395,0,-10.315868377685547,-23.3377685546875,-5.627747535705566
2019-12-01T00:00:00.000Z,-25.315685272216797,9.076692581176758,-10.102951134914886,7.4750104054015205,1395,0,-8.70075511932373,-20.36519432067871,-0.6729292869567871
2019-12-02T00:00:00.000Z,-30.116132736206055,3.6122422218322754,-12.882222633621923,7.92098543800353,1395,0,-9.778709411621094,-25.56577491760254,-5.069452285766602
2019-12-08T00:00:00.000Z,-29.923171997070312,4.4869384765625,-12.325509287732023,8.003224264805649,1395,0,-9.22356128692627,-25.175752639770508,-4.4113078117370605
2019-12-13T00:00:00.000Z,-33.060890197753906,8.884902000427246,-12.18196821470935,9.503690814539263,1395,0,-9.20142936706543,-27.647050857543945,-1.5786858797073364
2019-12-14T00:00:00.000Z,-34.50053024291992,1.2088215351104736,-13.465048031949545,8.639603023452995,1395,0,-9.977190017700195,-27.089908599853516,-5.297583103179932
2019-12-20T00:00:00.000Z,-33.502777099609375,2.3208744525909424,-14.094055374548864,8.354880717282235,1395,0,-10.628474235534668,-27.742433547973633,-5.863183975219727
2019-12-25T00:00:00.000Z,-20.51470375061035,9.024984359741211,-9.794946273700708,6.628143817216182,1395,0,-8.894383430480957,-18.441511154174805,-1.5709686279296875
2019-12-26T00:00:00.000Z,-13.628449440002441,4.48775053024292,-7.908979094120607,3.6944004367117644,1395,0,-8.451776504516602,-12.122269630432129,-2.5020411014556885
2020-01-01T00:00:00.000Z,-28.582382202148438,4.0731940269470215,-12.52466506507501,6.739362087581961,1395,0,-10.273551940917969,-22.82276725769043,-5.471776962280273
2020-01-06T00:00:00.000Z,-30.204864501953125,8.884918212890625,-11.449392678751542,7.448676911095783,1395,0,-9.82931900024414,-21.2495174407959,-2.491136312484741
2020-01-07T00:00:00.000Z,-29.001914978027344,1.9921188354492188,-13.278830666845423,7.244834461235296,1395,0,-10.491019248962402,-24.63568115234375,-5.916250705718994
2020-01-13T00:00:00.000Z,-31.32049560546875,2.847092866897583,-13.290681803205096,7.42509653029227,1395,0,-10.63581657409668,-24.87873649597168,-5.762622833251953
2020-01-18T00:00:00.000Z,-22.442914962768555,8.377284049987793,-10.20247232799677,5.766649688697616,1395,0,-9.941203117370605,-16.955350875854492,-2.4235999584198
2020-01-19T00:00:00.000Z,-31.319061279296875,4.055577278137207,-13.572985417206233,7.556968159992926,1395,0,-10.727668762207031,-25.631093978881836,-6.001032829284668
2020-01-25T00:00:00.000Z,-35.97461700439453,2.859546422958374,-13.715311083945313,8.085679899010428,1395,0,-10.471272468566895,-26.33017349243164,-5.807272911071777
2020-01-30T00:00:00.000Z,-27.73250961303711,8.590507507324219,-11.628812169241556,7.45347735063833,1395,0,-10.050140380859375,-22.076627731323242,-2.4682178497314453
2020-01-31T00:00:00.000Z,-36.24116516113281,4.001283645629883,-13.83362713801178,8.352871862324715,1395,0,-10.442699432373047,-27.07587432861328,-5.856418132781982
2020-02-06T00:00:00.000Z,-31.246627807617188,3.658705472946167,-13.501092091950461,6.883158109515996,1395,0,-11.153512954711914,-23.77805519104004,-6.226256370544434
2020-02-11T00:00:00.000Z,-22.769359588623047,7.962629318237305,-10.056711076470485,6.904660612113994,1395,0,-9.06728744506836,-19.134937286376953,-0.9097752571105957
2020-02-12T00:00:00.000Z,-35.22745132446289,1.05716073513031,-13.329564483228747,7.69706648011187,1395,0,-10.424702644348145,-25.727558135986328,-5.647593975067139
2020-02-18T00:00:00.000Z,-32.1134033203125,2.989351272583008,-13.717628146553121,7.613970226749073,1395,0,-10.760780334472656,-25.304819107055664,-6.088581085205078
2020-02-23T00:00:00.000Z,-20.963945388793945,8.785924911499023,-10.613963263196807,6.721318959272813,1395,0,-9.566548347473145,-19.612096786499023,-1.6540887355804443
