C0/date,C0/min,C0/max,C0/mean,C0/stDev,C0/sampleCount,C0/noDataCount,C0/median,C0/p10,C0/p90
2019-10-14T00:00:00.000Z,0,0.6033469438552856,0.020554366571575482,0.026192858804048296,1395,0,0.01816239021718502,0.00029679478029720485,0.043310705572366714
2019-10-15T00:00:00.000Z,0,0.37962275743484497,0.022076901312706527,0.024244189962665225,1395,0,0.018074192106723785,0.00047817788436077535,0.05180264264345169
2019-10-21T00:00:00.000Z,0,0.5189657807350159,0.02178514006525469,0.025059302720360558,1395,0,0.017981696873903275,0.00019222716218791902,0.05101792514324188
2019-10-26T00:00:00.000Z,0,0.2805992662906647,0.020773115827224825,0.021005146074970713,1395,0,0.01906415820121765,0.0002683571947272867,0.0445302315056324
2019-10-27T00:00:00.000Z,0,0.4786064326763153,0.02339303046572247,0.026421760489274127,1395,0,0.018856754526495934,0.0003940872848033905,0.05567065253853798
2019-11-02T00:00:00.000Z,0,0.47686445713043213,0.022574919657812654,0.02564763734436516,1395,0,0.01830660179257393,0.0002184577751904726,0.053788572549819946
2019-11-07T00:00:00.000Z,0,1.8779656887054443,0.021079152465695056,0.05351955801787309,1395,0,0.017779335379600525,0.00027724774554371834,0.04337501525878906
2019-11-08T00:00:00.000Z,0,0.3413071930408478,0.022287588960498234,0.02356780795539588,1395,0,0.018859069794416428,0.00046133421710692346,0.051745712757110596
2019-11-14T00:00:00.000Z,0,0.3960903584957123,0.02058412346109602,0.02456391764433715,1395,0,0.016443327069282532,0.00020075716020073742,0.04916759952902794
2019-11-19T00:00:00.000Z,0,0.14796817302703857,0.0200463509578801,0.01929852001668709,1395,0,0.018166573718190193,0.0002142669982276857,0.043511904776096344
2019-11-20T00:00:00.000Z,0,0.5354039669036865,0.03381252735396168,0.0319222177381893,1395,0,0.03189705312252045,0.000638672208879143,0.07119002938270569
2019-11-26T00:00:00.000Z,0,0.40308400988578796,0.022875195646164703,0.024688581477442816,1395,0,0.019416814669966698,0.00024144543567672372,0.05472255125641823
2019-12-01T00:00:00.000Z,0.00008934690413298085,0.2905352711677551,0.025226578561126554,0.023904439199286323,1395,0,0.02461422048509121,0.00037422915920615196,0.05228087306022644
2019-12-02T00:00:00.000Z,0,0.3414514660835266,0.02596949387406505,0.025785761178285876,1395,0,0.022945586591959,0.000515999214258045,0.05969581380486488
2019-12-08T00:00:00.000Z,0,0.5104076266288757,0.030142079783620428,0.02964126554811181,1395,0,0.028836799785494804,0.0002819511282723397,0.06456215679645538
2019-12-13T00:00:00.000Z,0,0.29050949215888977,0.02250097945463693,0.02145440682666004,1395,0,0.022184666246175766,0.00026440867804922163,0.046046480536460876
2019-12-14T00:00:00.000Z,0,0.3755722939968109,0.02541659576249146,0.02574936890351806,1395,0,0.022838929668068886,0.00045613726251758635,0.05757689103484154
2019-12-20T00:00:00.000Z,0,0.5131624341011047,0.02292807769632489,0.02600024665423784,1395,0,0.019287485629320145,0.00021242427465040237,0.05465032532811165
2019-12-25T00:00:00.000Z,0.00014800387725699693,0.2947617471218109,0.024545232056484442,0.022418355960101447,1395,0,0.024297183379530907,0.000447322177933529,0.05056878551840782
2019-12-26T00:00:00.000Z,0.0011943284189328551,0.424972265958786,0.037623247252042816,0.03498078674079348,1395,0,0.03406516835093498,0.0024587269872426987,0.08247708529233932
2020-01-01T00:00:00.000Z,0,0.48793888092041016,0.023798166479267767,0.025838132842849488,1395,0,0.020565856248140335,0.0002538932312745601,0.05479622259736061
2020-01-06T00:00:00.000Z,0,0.16985170543193817,0.0206395769408756,0.019209809705781112,1395,0,0.019950449466705322,0.0002530003257561475,0.04269881546497345
2020-01-07T00:00:00.000Z,0,0.3141840696334839,0.023366357108498822,0.02419202315302973,1395,0,0.020212067291140556,0.0004908058326691389,0.05392138659954071
2020-01-13T00:00:00.000Z,0,0.36607903242111206,0.02257453368118078,0.02416781587659102,1395,0,0.019243793562054634,0.00023786351084709167,0.051925595849752426
2020-01-18T00:00:00.000Z,0.0003008965577464551,0.2634257972240448,0.020941581308097344,0.020207500935816882,1395,0,0.020094066858291626,0.0006101679755374789,0.04358736053109169
2020-01-19T00:00:00.000Z,0,0.5207082629203796,0.023941701371870117,0.02709555327455778,1395,0,0.02016005478799343,0.00042791556916199625,0.05624564737081528
2020-01-25T00:00:00.000Z,0,0.32172727584838867,0.023204031255814005,0.023643172542905887,1395,0,0.02076032944023609,0.0002454770728945732,0.05279865115880966
