C0/date,C0/min,C0/max,C0/mean,C0/stDev,C0/sampleCount,C0/noDataCount,C0/median,C0/p10,C0/p90
2018-10-30T00:00:00.000Z,0.01769379898905754,0.03573865070939064,0.028593427924097286,0.002481057896533196,17712,9743,0.028983211144804955,0.02516426518559456,0.031258925795555115
2018-10-31T00:00:00.000Z,0.02490864135324955,0.02919892594218254,0.027446877132070828,0.0010259523993510504,17712,17571,0.027165092527866364,0.026689905673265457,0.02911139279603958
2018-11-01T00:00:00.000Z,0.024253349751234055,0.030709628015756607,0.026251186371279947,0.0011287170307965916,17712,14388,0.026133807376027107,0.025042986497282982,0.027844276279211044
2018-11-02T00:00:00.000Z,0.020317411050200462,0.033451106399297714,0.028082069680334276,0.0022673182897464893,17712,15224,0.028294624760746956,0.02555021271109581,0.030848734080791473
2018-11-03T00:00:00.000Z,0.018139639869332314,0.03312642499804497,0.0261577959823815,0.003130565216928316,17712,15982,0.026814226061105728,0.02150479331612587,0.02959023229777813
2018-11-04T00:00:00.000Z,0.023283733054995537,0.03294750675559044,0.0296705689122178,0.0017131443881927583,17712,16049,0.029930545017123222,0.027593513950705528,0.031408898532390594
2018-11-05T00:00:00.000Z,0.015112096443772316,0.03646660968661308,0.026801462281357855,0.002629542225320337,17712,8068,0.027172379195690155,0.02338409796357155,0.029767150059342384
2018-11-06T00:00:00.000Z,0.02003258839249611,0.030698958784341812,0.026097897722502164,0.0020544095653057684,17712,14512,0.026272090151906013,0.023069392889738083,0.02872416563332081
2018-11-07T00:00:00.000Z,0.01765296421945095,0.031932126730680466,0.026389523610065985,0.002404882900777604,17712,6866,0.02683034911751747,0.023041512817144394,0.02898995950818062
2018-11-08T00:00:00.000Z,0.015372891910374165,0.3517877459526062,0.05382520241657209,0.05506362113640291,17712,7531,0.03270919620990753,0.02301202341914177,0.14081379771232605
2018-11-09T00:00:00.000Z,0.017849765717983246,0.3770298659801483,0.06302224382181508,0.04841519716628669,17712,6354,0.052062198519706726,0.025164470076560974,0.102207712829113
2018-11-10T00:00:00.000Z,0.01770210824906826,0.23890842497348785,0.052200727999474034,0.02567805683887833,17712,8215,0.048514027148485184,0.027343710884451866,0.07767757028341293
2018-11-11T00:00:00.000Z,0.025892876088619232,0.029023732990026474,0.027868215615550678,0.0014034831682912098,17712,17634,0.028688037768006325,0.025892876088619232,0.029023732990026474
2018-11-12T00:00:00.000Z,0.01843465492129326,0.16899468004703522,0.03971880760163199,0.017859599332533376,17712,6914,0.03737124800682068,0.024492109194397926,0.04980633035302162
2018-11-14T00:00:00.000Z,0.02188953012228012,0.17292994260787964,0.04460596781337855,0.01619385651591811,17712,10677,0.04076780006289482,0.030955571681261063,0.06187605857849121
2018-11-16T00:00:00.000Z,0.015175565145909786,0.12142752856016159,0.0422141677406122,0.012530709293896098,17712,4417,0.04059101268649101,0.029379166662693024,0.058276958763599396
2018-11-17T00:00:00.000Z,0.026216506958007812,0.07012680172920227,0.04165821850475337,0.00841330275980822,17712,4552,0.04141129180788994,0.029909338802099228,0.05373431369662285
2018-11-18T00:00:00.000Z,0.019764114171266556,0.08296900987625122,0.03661132904889685,0.0074040610324855325,17712,8170,0.03675883263349533,0.02684617228806019,0.04491991177201271
2018-11-19T00:00:00.000Z,0.02117275632917881,0.09377629309892654,0.03390615970301236,0.006508424971694969,17712,15412,0.03392253443598747,0.02671031840145588,0.03850949928164482
2018-11-20T00:00:00.000Z,0.02086230181157589,0.040491461753845215,0.029382797393629936,0.003126527053131451,17712,14419,0.028894051909446716,0.02604203298687935,0.03416352719068527
2018-11-21T00:00:00.000Z,0.019362758845090866,0.04037652909755707,0.03201702450495238,0.0034271138753878064,17712,7334,0.032712049782276154,0.027096977457404137,0.0359482541680336
2018-11-22T00:00:00.000Z,0.029271099716424942,0.034023839980363846,0.03173593300253719,0.0010179911741801475,17712,15836,0.03184449300169945,0.030266009271144867,0.03299758583307266
2018-11-23T00:00:00.000Z,0.019376380369067192,0.032029155641794205,0.027327646703958423,0.0022483450087619028,17712,9295,0.02762497216463089,0.023947706446051598,0.029921548441052437
2018-11-24T00:00:00.000Z,0.022948553785681725,0.034748923033475876,0.029279258323922103,0.0022856113879782896,17712,12462,0.02940864861011505,0.02615726925432682,0.03205176070332527
2018-11-25T00:00:00.000Z,0.016280002892017365,0.03591122105717659,0.030062486274067695,0.002734174601942614,17712,12709,0.030550871044397354,0.026581354439258575,0.03293781355023384
2018-11-26T00:00:00.000Z,0.025563513860106468,0.03468357399106026,0.03029126104960273,0.0014664893182108367,17712,17273,0.030578389763832092,0.028187494724988937,0.03156500309705734
2018-11-27T00:00:00.000Z,0.027468230575323105,0.0314091295003891,0.03018723282258252,0.0009681746863790231,17712,17638,0.03008681908249855,0.02895548939704895,0.0314091295003891
2018-11-28T00:00:00.000Z,0.019025539979338646,0.032459426671266556,0.027194594473534003,0.0020260884487894888,17712,6343,0.027561824768781662,0.024212252348661423,0.029491910710930824
2018-11-29T00:00:00.000Z,0.01749791018664837,0.037684109061956406,0.02554341276020147,0.0028975984973179806,17712,9999,0.02578861080110073,0.021226629614830017,0.028970908373594284
2018-11-30T00:00:00.000Z,0.0183868408203125,0.038768231868743896,0.029761866338700975,0.0031609383731575347,17712,11948,0.03029494732618332,0.025091033428907394,0.033275846391916275
